Total T: 41001 Episode Num: 164 Episode T: 250 Reward: 46.145|A_Loss: -6.562|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 41251 Episode Num: 165 Episode T: 250 Reward: 42.563|A_Loss: -6.564|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 41501 Episode Num: 166 Episode T: 250 Reward: 45.991|A_Loss: -6.558|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 41751 Episode Num: 167 Episode T: 250 Reward: 44.634|A_Loss: -6.561|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 42001 Episode Num: 168 Episode T: 250 Reward: 41.867|A_Loss: -6.552|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 42251 Episode Num: 169 Episode T: 250 Reward: 46.726|A_Loss: -6.554|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 42501 Episode Num: 170 Episode T: 250 Reward: 39.510|A_Loss: -6.548|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 42751 Episode Num: 171 Episode T: 250 Reward: 50.691|A_Loss: -6.546|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 43001 Episode Num: 172 Episode T: 250 Reward: 43.253|A_Loss: -6.541|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 43251 Episode Num: 173 Episode T: 250 Reward: 41.179|A_Loss: -6.539|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 43501 Episode Num: 174 Episode T: 250 Reward: 49.043|A_Loss: -6.536|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 43751 Episode Num: 175 Episode T: 250 Reward: 38.688|A_Loss: -6.535|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 44001 Episode Num: 176 Episode T: 250 Reward: 39.104|A_Loss: -6.530|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 44251 Episode Num: 177 Episode T: 250 Reward: 43.762|A_Loss: -6.523|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 44501 Episode Num: 178 Episode T: 250 Reward: 41.342|A_Loss: -6.523|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 44751 Episode Num: 179 Episode T: 250 Reward: 49.987|A_Loss: -6.522|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 45001 Episode Num: 180 Episode T: 250 Reward: 40.889|A_Loss: -6.520|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 45251 Episode Num: 181 Episode T: 250 Reward: 46.995|A_Loss: -6.519|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 45501 Episode Num: 182 Episode T: 250 Reward: 42.668|A_Loss: -6.514|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 45751 Episode Num: 183 Episode T: 250 Reward: 43.594|A_Loss: -6.512|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 46001 Episode Num: 184 Episode T: 250 Reward: 42.094|A_Loss: -6.512|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 46251 Episode Num: 185 Episode T: 250 Reward: 41.850|A_Loss: -6.511|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 46501 Episode Num: 186 Episode T: 250 Reward: 40.061|A_Loss: -6.505|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 46751 Episode Num: 187 Episode T: 250 Reward: 47.965|A_Loss: -6.501|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 47001 Episode Num: 188 Episode T: 250 Reward: 40.993|A_Loss: -6.502|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
